currency,transactType,symbol,amount,fee,walletBalance,marginBalance,pendingDebit,realisedPnl,unrealisedPnl
USDt,Conversion,,0,0,0,0,0,0,0
XBt,Conversion,,-13682000,0,-13682000,-13682000,0,0,0
XBt,Deposit,,177199051,0,177199051,177199051,0,0,0
XBt,Funding,,135338994,-135338994,135338994,135338994,0,0,0
XBt,RealisedPNL,AAVEUSDT,71730556,0,71730556,71730556,0,0,0
XBt,RealisedPNL,ADAM20,-62919885,0,-62919885,-62919885,0,0,0
XBt,RealisedPNL,ADAUSD,-56107155,0,-56107155,-56107155,0,0,0
XBt,RealisedPNL,ADAUSDT,22028955,0,22028955,22028955,0,0,0
XBt,RealisedPNL,ALTMEXUSD,12703826,0,12703826,12703826,0,0,0
XBt,RealisedPNL,AXSUSDT,79806631,0,79806631,79806631,0,0,0
XBt,RealisedPNL,BCHH21,-20732871,0,-20732871,-20732871,0,0,0
XBt,RealisedPNL,BCHUSD,-21990121,0,-21990121,-21990121,0,0,0
XBt,RealisedPNL,BMEXUSD,1315790,0,1315790,1315790,0,0,0
XBt,RealisedPNL,BNBUSD,1123819,0,1123819,1123819,0,0,0
XBt,RealisedPNL,BNBUSDT,39788655,0,39788655,39788655,0,0,0
XBt,RealisedPNL,DOGEUSD,220956115,934115,220956115,220956115,0,0,0
XBt,RealisedPNL,DOGEUSDT,354388899,0,354388899,354388899,0,0,0
XBt,RealisedPNL,DOTUSDT,-715082903,0,-715082903,-715082903,0,0,0
XBt,RealisedPNL,DOTUSDTH21,23667341,0,23667341,23667341,0,0,0
XBt,RealisedPNL,EOSH21,-2998150,0,-2998150,-2998150,0,0,0
XBt,RealisedPNL,EOSUSDTZ20,-13777842,0,-13777842,-13777842,0,0,0
XBt,RealisedPNL,ETHH21,88173441,0,88173441,88173441,0,0,0
XBt,RealisedPNL,ETHH22,-25352949,0,-25352949,-25352949,0,0,0
XBt,RealisedPNL,ETHH23,-45786066,0,-45786066,-45786066,0,0,0
XBt,RealisedPNL,ETHH24,7839179,0,7839179,7839179,0,0,0
XBt,RealisedPNL,ETHM20,33807611,0,33807611,33807611,0,0,0
XBt,RealisedPNL,ETHM21,109191238,0,109191238,109191238,0,0,0
XBt,RealisedPNL,ETHM22,42029332,0,42029332,42029332,0,0,0
XBt,RealisedPNL,ETHM23,54163547,0,54163547,54163547,0,0,0
XBt,RealisedPNL,ETHM24,40495736,0,40495736,40495736,0,0,0
XBt,RealisedPNL,ETHU20,69797491,0,69797491,69797491,0,0,0
XBt,RealisedPNL,ETHU21,19205345,0,19205345,19205345,0,0,0
XBt,RealisedPNL,ETHU22,10663294,0,10663294,10663294,0,0,0
XBt,RealisedPNL,ETHU23,4808098,0,4808098,4808098,0,0,0
XBt,RealisedPNL,ETHU24,-170066091,8430,-170066091,-170066091,0,0,0
XBt,RealisedPNL,ETHUSD,3785348582,0,3785348582,3785348582,0,0,0
XBt,RealisedPNL,ETHUSDZ20,536725,0,536725,536725,0,0,0
XBt,RealisedPNL,ETHZ20,-96071921,0,-96071921,-96071921,0,0,0
XBt,RealisedPNL,ETHZ21,294474547,0,294474547,294474547,0,0,0
XBt,RealisedPNL,ETHZ22,34304374,0,34304374,34304374,0,0,0
XBt,RealisedPNL,ETHZ23,22788472,0,22788472,22788472,0,0,0
XBt,RealisedPNL,ETHZ24,-5215481,59521,-5215481,-5215481,0,0,0
XBt,RealisedPNL,LINKUSDT,30789192,0,30789192,30789192,0,0,0
XBt,RealisedPNL,LINKUSDTZ20,-3805716,0,-3805716,-3805716,0,0,0
XBt,RealisedPNL,LTCH21,49653784,0,49653784,49653784,0,0,0
XBt,RealisedPNL,LTCM20,-58105822,0,-58105822,-58105822,0,0,0
XBt,RealisedPNL,LTCM21,-14296228,0,-14296228,-14296228,0,0,0
XBt,RealisedPNL,LTCU20,-103143683,0,-103143683,-103143683,0,0,0
XBt,RealisedPNL,LTCU21,23849033,0,23849033,23849033,0,0,0
XBt,RealisedPNL,LTCUSD,511563401,0,511563401,511563401,0,0,0
XBt,RealisedPNL,LTCZ20,60824873,0,60824873,60824873,0,0,0
