currency,majorCurrency,name,currencyType,scale,enabled,isMarginCurrency,memoRequired,asset,networks,assetID,maxWithdrawalAmount,minDepositAmount,minWithdrawalAmount
MATIc,MATIC,Matic Token,Crypto,8,true,false,false,MATIC,"[{""asset"":""eth"",""depositEnabled"":false,""maxFee"":0,""minFee"":0,""tokenAddress"":""0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0"",""withdrawalEnabled"":true,""withdrawalFee"":1}]",1304534194,7000000000000000,700000000,0
TAXTRUMp,TAXTRUMP,MAGA (Taxed) Withdrawal Only,Crypto,8,true,false,false,TAXTRUMP,"[{""asset"":""eth"",""depositEnabled"":false,""maxFee"":0,""minFee"":0,""tokenAddress"":""0x576e2BeD8F7b46D34016198911Cdf9886f78bea7"",""withdrawalEnabled"":true,""withdrawalFee"":1}]",4213966721,500000000000000,500000000,1
SHIb,SHIB,Shiba Inu,Crypto,5,true,false,false,SHIB,"[{""asset"":""eth"",""depositEnabled"":true,""maxFee"":25000000000,""minFee"":25000000000,""tokenAddress"":""0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE"",""withdrawalEnabled"":true,""withdrawalFee"":25000000000}]",1591665118,100000000000000000,80000000000,80000000000
DOGe,DOGE,Dogecoin,Crypto,6,true,false,false,DOGE,"[{""asset"":""doge"",""depositEnabled"":true,""maxFee"":5000000,""minFee"":5000000,""withdrawalEnabled"":true,""withdrawalFee"":5000000}]",3735763626,800000000000000,8000000,8000000
USDt,USDT,USD Tether,Crypto,6,true,true,false,USDT,"[{""asset"":""optimism"",""depositEnabled"":true,""maxFee"":100000,""minFee"":100000,""tokenAddress"":""0x94b008aA00579c1307B0EF2c499aD98a8ce58e58"",""withdrawalEnabled"":true,""withdrawalFee"":100000},{""asset"":""arbitrum"",""depositEnabled"":true,""maxFee"":50000,""minFee"":50000,""tokenAddress"":""0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9"",""withdrawalEnabled"":true,""withdrawalFee"":50000},{""asset"":""sol"",""depositEnabled"":true,""maxFee"":1000000,""minFee"":1000000,""tokenAddress"":""Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB"",""withdrawalEnabled"":true,""withdrawalFee"":1000000},{""asset"":""tron"",""depositEnabled"":true,""maxFee"":1000000,""minFee"":1000000,""tokenAddress"":""TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t"",""withdrawalEnabled"":true,""withdrawalFee"":1000000},{""asset"":""bsc"",""depositEnabled"":true,""maxFee"":1000000,""minFee"":1000000,""tokenAddress"":""0x55d398326f99059fF775485246999027B3197955"",""withdrawalEnabled"":true,""withdrawalFee"":1000000},{""asset"":""eth"",""depositEnabled"":true,""maxFee"":1000000,""minFee"":1000000,""tokenAddress"":""0xdAC17F958D2ee523a2206206994597C13D831ec7"",""withdrawalEnabled"":true,""withdrawalFee"":1000000}]",2945020447,100000000000000,10000000,1000000
NEAr,NEAR,NEAR Protocol,Crypto,8,true,false,false,NEAR,"[{""asset"":""near"",""depositEnabled"":true,""maxFee"":2000000,""minFee"":2000000,""withdrawalEnabled"":true,""withdrawalFee"":2000000}]",3850720114,3000000000000000,30000000,30000000
STLs,STLS,STELSI,Crypto,8,true,false,false,STLS,"[{""asset"":""eth"",""depositEnabled"":true,""maxFee"":1250000000,""minFee"":1250000000,""tokenAddress"":""0x02Df0361f9332Be1Bd9774A8b51eF8540Fad4148"",""withdrawalEnabled"":true,""withdrawalFee"":1250000000}]",486608408,1500000000000000,1500000000,1500000000
MAMUSd,MAMUSD,Multi Asset Margin USD,Synthetic,6,true,false,false,MAMUSD,"[{""asset"":""bitmex"",""depositEnabled"":false,""maxFee"":null,""minFee"":0,""withdrawalEnabled"":false,""withdrawalFee"":null}]",2348548843,,,
XRp,XRP,XRP,Crypto,6,true,false,true,XRP,"[{""asset"":""xrp"",""depositEnabled"":true,""maxFee"":200000,""minFee"":200000,""withdrawalEnabled"":true,""withdrawalFee"":200000}]",2292346876,5000000000000,5000000,10000000
TRx,TRX,Tron,Crypto,6,true,false,false,TRX,"[{""asset"":""tron"",""depositEnabled"":true,""maxFee"":1000000,""minFee"":1000000,""withdrawalEnabled"":true,""withdrawalFee"":1000000}]",1335039699,1000000000000000000,1000000,1000000
