排名,组合,交易数,胜,亏,过期,胜率,净盈亏,夏普,资金,回撤,盈亏比,平均盈利,平均亏损,毛利润,毛亏损
1,15+30,109,61,35,13,56.0%,224.0,1.98,10223.0,1.3%,1.37,14.0,17.0,834.0,610.0
2,4h独,68,0,0,68,0.0%,0,0,10000,0.0%,inf,0,0,0,0
3,15+240,3,0,0,3,0.0%,0,0,10000,0.0%,inf,0,0,0,0
4,30+240,4,0,0,4,0.0%,0,0,10000,0.0%,inf,0,0,0,0
5,60+240,6,0,0,6,0.0%,0,0,10000,0.0%,inf,0,0,0,0
6,15+30+240,1,0,0,1,0.0%,0,0,10000,0.0%,inf,0,0,0,0
7,15+60+240,2,0,0,2,0.0%,0,0,10000,0.0%,inf,0,0,0,0
8,30+60+240,2,0,0,2,0.0%,0,0,10000,0.0%,inf,0,0,0,0
9,全对齐,1,0,0,1,0.0%,0,0,10000,0.0%,inf,0,0,0,0
10,30m独,697,390,253,54,56.0%,-188.0,-0.26,9813.0,6.4%,0.96,12.0,19.0,4714.0,4902.0
11,15m独,1200,688,504,8,57.3%,-1077.0,-1.34,8808.0,12.8%,0.83,8.0,13.0,5224.0,6301.0
12,1h独,371,35,90,246,9.4%,-1449.0,-4.11,8556.0,14.6%,0.37,25.0,26.0,868.0,2317.0
13,30+60,58,5,13,40,8.6%,-217.0,-4.24,9782.0,2.2%,0.36,24.0,26.0,121.0,338.0
14,15+30+60,8,2,3,3,25.0%,-44.0,-4.65,9956.0,0.4%,0.46,18.0,27.0,37.0,81.0
15,15+60,26,4,10,12,15.4%,-175.0,-5.92,9824.0,1.8%,0.34,22.0,26.0,89.0,264.0
